  >> Estado,2017​ >> Puesto,2017​ >> Nota,2017​ >> Cambio  desde el año anterior
 Hong Kong,1,89.8,1.2
 Singapur,2,88.6,0.8
 Nueva Zelanda,3,83.7,2.1
 Suiza,4,81.5,0.5
 Australia,5,81,0.7
 Estonia,6,79.1,1.9
 Canadá,7,78.5,0.5
Emiratos Árabes Unidos,8,76.9,4.5
 Irlanda,9,76.7,-0.6
 Chile,10,76.5,-1.2
 República de China,11,76.5,1.8
 Reino Unido,12,76.4,0
 Georgia,13,76,3.0
 Luxemburgo,14,75.9,2.7
 Países Bajos,15,75.8,2.1
 Lituania,16,75.8,0.6
 Estados Unidos,17,75.1,-0.3
 Dinamarca,18,75.1,-0.2
Suecia,19,74.9,2.2
 Letonia,20,74.8,5.1
 Mauricio,21,74.7,0
 Islandia,22,74.4,2.4
 Corea del Sur,23,74.3,2.8
 Finlandia,24,74.0,0.6
Noruega,25,74,2.2
 Alemania,26,73.8,0
 Malasia,27,73.8,3
 República Checa,28,73.3,0.8
 Catar,29,73.1,2.3
 Austria,30,72.3,1.1
 Macedonia del Norte,31,70.7,3.6
 Macao,32,70.7,0.4
 Armenia,33,70.3,3.2
 Botsuana,34,71.1,-2.2
 Brunéi,35,69.8,0.9
 Israel,36,69.7,-0.8
 Colombia,37,69.7,-2
Uruguay,38,69.7,1.1
Rumania,39,69.7,3.1
 Japón,40,69.6,-3.7
 Jamaica,41,69.5,1.8
Kazajistán,42,69,5.7
Perú,43,68.9,1.2
 Baréin,44,68.5,-4.9
 Polonia,45,68.3,-0.3
 Kosovo,46,67.9,
 Bulgaria,47,67.9,1.1
 Chipre,48,67.9,0
 Bélgica,49,67.8,-1
 Malta,50,67.7,1.2
 Ruanda,51,67.6,2.8
 Vanuatu,52,67.4,6.3
 Jordania,53,66.7,-2.6
Panamá,54,66.3,2.2
 Tailandia,55,66.2,3.8
 Hungría,56,65.8,-1.0
Eslovaquia,57,65.7,-1.5
 Filipinas,58,65.6,3.4
 San Vicente y las Granadinas,59,65.2,-2.8
 Turquía,60,65.2,2
